EPA AQS ID,Country Code,Data Source,EPA Region,Elevation,GMT Offset Amount (hours),Latitude,Local Time at Monitor,Longitude,OZONE,Ozone & PM AQI,Ozone & PM AQI (For Labeling),Ozone & PM AQI (For Sorting),Ozone AQI,Ozone AQI (For Labeling),Ozone AQI (For Sorting),Ozone Measured at Site,Ozone Unit of Measure,PM10,PM10 AQI,PM10 AQI (For Labeling),PM10 AQI (For Sorting),PM10 Measured at Site,PM10 Unit of Measure,PM2.5,PM2.5 AQI,PM2.5 AQI (For Labeling),PM2.5 AQI (For Sorting),PM2.5 Measured at Site,PM2.5 Unit of Measure,PM2.5 & PM10 AQI,PM2.5 & PM10 AQI (For Labeling),PM2.5 & PM10 AQI (For Sorting),Reporting Area(s),Site Name,State Name,Site Operational Status,ValidTime,ObjectId,MonitorType,x,y
060450006,US,Mendocino County AQMD,R9,189.1,-8,39.150478,2025-05-02 01:00:00 GMT-8,-123.206528,,48,48,48,,ND,-999,0,,,,ND,-999,0,,7,48,48,48,1,UG/M3,48,48,48,Ukiah,Ukiah Library,CA,Active,5/2/2025 9:00:00 AM,474959094,Permanent,-13715287.9593672,4743249.233198
060450008,US,Mendocino County AQMD,R9,187.6,-8,39.145733,2025-05-02 01:00:00 GMT-8,-123.202995,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Fort Bragg|Willits|Ukiah|Point Arena,Ukiah District Office,CA,Inactive,5/2/2025 9:00:00 AM,474959095,Permanent,-13714894.6676062,4742568.12466789
060450010,US,Mendocino County AQMD,R9,48.5,-8,39.43734,2025-05-02 01:00:00 GMT-8,-123.78766,,20,20,20,,ND,-999,0,,23.0,20.0,20,20,1,UG/M3,,,ND,-999,0,,20,20,20,Fort Bragg|Point Arena,Fort Bragg High School,CA,Active,5/2/2025 9:00:00 AM,474959096,Permanent,-13779979.2776909,4784511.79776602
060452002,US,Mendocino County AQMD,R9,427,-8,39.411761,2025-05-02 01:00:00 GMT-8,-123.3526,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Willits,Willits Justice Building,CA,Inactive,5/2/2025 9:00:00 AM,474959097,Permanent,-13731548.6200264,4780825.60602106
060470003,US,San Joaquin Valley Unified APCD,R9,0,-8,37.2817,2025-05-02 01:00:00 GMT-8,-120.433601,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Merced,Merced - S. Coffee Ave,CA,Inactive,5/2/2025 9:00:00 AM,474959098,Permanent,-13406607.1377203,4478445.21094793
060510001,US,Great Basin Unified Air Pollution Control District,R9,0,-8,37.645718,2025-05-02 01:00:00 GMT-8,-118.966515,,10,10,10,,ND,-999,0,,8.0,10.0,10,10,1,UG/M3,,,ND,-999,0,,10,10,10,Mammoth Lakes,Mammoth Lakes,CA,Active,5/2/2025 9:00:00 AM,474959099,Permanent,-13243291.8712503,4529497.83452946
060510005,US,Great Basin Unified Air Pollution Control District,R9,0,-8,37.962069,2025-05-02 01:00:00 GMT-8,-119.120278,,18,18,18,,ND,-999,0,,7.0,7.0,7,7,1,UG/M3,3,18,18,18,1,UG/M3,18,18,18,Mono Lake|Lee Vining,Lee Vining,CA,Active,5/2/2025 9:00:00 AM,474959100,Permanent,-13260408.6901132,4574068.8195997
060510011,US,Great Basin Unified Air Pollution Control District,R9,0,-8,38.0697,2025-05-02 01:00:00 GMT-8,-118.9477,,6,6,6,,ND,-999,0,,7.0,6.0,6,6,1,UG/M3,,,ND,-999,0,,6,6,6,Mono Lake,Mono Shore,CA,Active,5/2/2025 9:00:00 AM,474959101,Permanent,-13241197.3950311,4589276.76973022
060530002,US,Monterey Bay Unified APCD,R9,200.1,-8,36.48187,2025-05-02 01:00:00 GMT-8,-121.73333,31,33,33,33,29,29,29,1,PPB,,,ND,-999,0,,6,33,33,33,1,UG/M3,33,33,33,Carmel Valley,Carmel Valley AMS,CA,Active,5/2/2025 9:00:00 AM,474959102,Permanent,-13551292.3081695,4367130.13068094
060530008,US,Monterey Bay Unified APCD,R9,102.8,-8,36.209286,2025-05-02 01:00:00 GMT-8,-121.126371,41,44,44,44,37,37,37,1,PPB,14.0,14.0,14,14,1,UG/M3,7,44,44,44,1,UG/M3,44,44,44,King City,King City AMS,CA,Active,5/2/2025 9:00:00 AM,474959103,Permanent,-13483725.9413571,4329457.14711051
060531003,US,Monterey Bay Unified APCD,R9,10.1,-8,36.694261,2025-05-02 01:00:00 GMT-8,-121.623271,44,42,42,42,41,41,41,1,PPB,,,ND,-999,0,,8,42,42,42,1,UG/M3,42,42,42,Salinas|Marina and Seaside|Monterey Peninsula,Salinas AMS,CA,Active,5/2/2025 9:00:00 AM,474959104,Permanent,-13539040.5963323,4396575.96457041
060539973,US,Monterey Bay Unified APCD,R9,0,-8,36.511942,2025-05-02 01:00:00 GMT-8,-121.442794,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Gonzales,CA,Inactive,5/2/2025 9:00:00 AM,474959105,Permanent,-13518949.9885924,4371294.38705243
060539974,US,Monterey Bay Unified APCD,R9,0,-8,36.427975,2025-05-02 01:00:00 GMT-8,-121.327819,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Soledad,CA,Inactive,5/2/2025 9:00:00 AM,474959106,Permanent,-13506151.0301385,4359670.99726598
060539975,US,Monterey Bay Unified APCD,R9,0,-8,36.326972,2025-05-02 01:00:00 GMT-8,-121.245819,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Greenfield,CA,Inactive,5/2/2025 9:00:00 AM,474959107,Permanent,-13497022.8318934,4345705.98933444
060539977,US,Monterey Bay Unified APCD,R9,0,-8,36.542105,2025-05-02 01:00:00 GMT-8,-121.92295,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Carmel River School,CA,Inactive,5/2/2025 9:00:00 AM,474959108,Permanent,-13572400.7100138,4375472.87041648
060539981,US,Monterey Bay Unified APCD,R9,0,-8,36.636753,2025-05-02 01:00:00 GMT-8,-121.807495,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Marshall Park Elementary,CA,Inactive,5/2/2025 9:00:00 AM,474959109,Permanent,-13559548.3182042,4388595.06407887
060539982,US,Monterey Bay Unified APCD,R9,0,-8,36.620125,2025-05-02 01:00:00 GMT-8,-121.816645,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,MPWMD,CA,Inactive,5/2/2025 9:00:00 AM,474959110,Permanent,-13560566.891545,4386288.55808431
060539983,US,Monterey Bay Unified APCD,R9,0,-8,36.606912,2025-05-02 01:00:00 GMT-8,-121.898879,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Presidio of Monterey,CA,Inactive,5/2/2025 9:00:00 AM,474959111,Permanent,-13569721.1385509,4384456.10886099
060539984,US,Monterey Bay Unified APCD,R9,0,-8,36.598671,2025-05-02 01:00:00 GMT-8,-121.838383,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Del Rey Woods,CA,Inactive,5/2/2025 9:00:00 AM,474959112,Permanent,-13562986.7546358,4383313.36203507
060539985,US,Monterey Bay Unified APCD,R9,0,-8,36.577939,2025-05-02 01:00:00 GMT-8,-121.715517,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Ingham,CA,Inactive,5/2/2025 9:00:00 AM,474959113,Permanent,-13549309.37408,4380439.07736781
060539986,US,Monterey Bay Unified APCD,R9,0,-8,36.596824,2025-05-02 01:00:00 GMT-8,-121.706649,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Toro Park,CA,Inactive,5/2/2025 9:00:00 AM,474959114,Permanent,-13548322.1928357,4383057.26260633
060539987,US,Monterey Bay Unified APCD,R9,0,-8,36.625659,2025-05-02 01:00:00 GMT-8,-121.643246,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Spreckles School,CA,Inactive,5/2/2025 9:00:00 AM,474959115,Permanent,-13541264.2031609,4387056.13599613
060539995,US,Monterey Bay Unified APCD,R9,61,-8,36.609014,2025-05-02 01:00:00 GMT-8,-121.829122,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Seaside Fire Station,CA,Inactive,5/2/2025 9:00:00 AM,474959116,Permanent,-13561955.8248316,4384747.60441702
060539996,US,Monterey Bay Unified APCD,R9,23.5,-8,36.617972,2025-05-02 01:00:00 GMT-8,-121.6879,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Toro Fire Station,CA,Inactive,5/2/2025 9:00:00 AM,474959117,Permanent,-13546235.0637028,4385989.94716075
060539997,US,Monterey Bay Unified APCD,R9,72.6,-8,36.613169,2025-05-02 01:00:00 GMT-8,-121.827594,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Manzanita,CA,Inactive,5/2/2025 9:00:00 AM,474959118,Permanent,-13561785.7286497,4385323.82381204
060539998,US,Monterey Bay Unified APCD,R9,147.6,-8,36.572725,2025-05-02 01:00:00 GMT-8,-121.804919,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,MBARD Office - Monterey,CA,Inactive,5/2/2025 9:00:00 AM,474959119,Permanent,-13559261.5591959,4379716.3298321
060539999,US,Monterey Bay Unified APCD,R9,130.8,-8,36.569272,2025-05-02 01:00:00 GMT-8,-121.755291,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Laureles Fire Station,CA,Inactive,5/2/2025 9:00:00 AM,474959120,Permanent,-13553736.9955068,4379237.71318486
